sample_id,essay1,essay2,label,essay1_id,essay2_id,para1_id,para2_id
1136930,"These are found in both the Cortex and the Hippocampus which is why memory problems are often an early sign of Alzheimer's. The posterior part of the hippocampus is most badly damaged and this is why sufferers will sometimes have excellent recall of events in their early life that are stored in their long term memory. These tangles are easily identified by light microscopy during a post mortem. As well as the plaques and tangles, Mountjoy (1993) notes two other pathogenic irregularities found in the brains of sufferers: neuronal loss and deposition of amyloid. Granular vascular bodies are also found in brains during post mortem, these are an outer membrane with a small dense granule in the centre - they are found in most aged brains but more common in brains with Alzheimer's disease. The granular vascular bodies cause the brain to appear darker than a younger brain. Other things that are noticed during a post mortem is that the cortex becomes atrophied (shrunken), it can lose as much as 1/3 of its volume as the disease progresses.",It would be important for the healthcare professional to try to talk to John about what he really wants and to find out if these suicidal thoughts are the only ones that he has about the future. The Caring Grid (Seedhouse 2000) is a useful tool which can be used to help practitioners decide on the best course of action in difficult situations by combining external factors with their own internal thoughts about a subject. 3. What are the implications of the legal and ethical issues that you have considered in this case for your own practice? I found it interesting when researching this assignment to realise that sectioned patients actually have clearer rights than informal ones. I found the nurse's role in scrutinising medical recommendations such as section papers(Dimond & Barker 1996) and making sure that all is correct particularly relevant since an example of this happened incorrectly whilst I was in practice. Section papers were accepted by nursing staff and it was later found that neither of the doctors was section 12 approved and therefore the section was invalid. This had major implications since meanwhile the patient was restrained which they could have used as grounds to sue the trust.,True,374,1156,24998,25026
35256,"Instead of viewing it from the stand point of a feeling of inferiority to peers as this study does, it may be possible to study it from a competition of popularity standpoint, led by the research of Langlois at al (1977) and Leiberman et al (2001). Depression and family factors may also play a role in increasing disordered eating behaviour in students and more research may be needed in this area. It may be that a new questionnaire needs to be established particularly looking at these issues to ensure validity and to ensure it is up to date and relevant to this generation. Further research may also look at the prevalence and causes of disordered eating for male students. It is however important to stay within the region of students as clearly there is an effect of going to university on students eating behaviour. This can also be supported by Kjelsan et al (2004) who found 6% of undergraduate women think they have an eating disorder, which is far higher than the national predicted prevalence rate of 3.4%.","There is little doubt however that factors such as attachment type and early experiences with reciprocal friendships are valuable in learning the necessary skills to socialise and which therefore give you an increased chance of being popular and having friends. It has been shown that lack of friends or being unpopular may lead to problems with psychological development and these seem to be more extreme with rejected rather than neglected children. There is plenty still to discover however regarding whether being unpopular causes psychological problems, or the psychological problems are already there and cause unpopularity. It would appear from the conclusions made in this essay that it is a likely combination of the two.",False,640,1522,940,964
643458,"Payback timePayback time = Capital cost/(Oil cost savings - Extra electricity cost) =  FORMULA  =  FORMULA  Analysis of the different cases in the spreadsheetThe Appendix shows a spreadsheet of Heat Exchanger design. Six different overall sizes of heat exchanger are considered. In order to find out which dimension of heat exchanger is the best one for the waste heat recovery system, surface 9.03 (Reference 3) is tested with these different sizes of heat exchanger. Finally, the best one is 400x400x500mm, which gives the shortest payback time between the six optional overall sizes. After determination of heat exchanger's dimension, best fin geometry has to be chosen for the system. In the spreadsheet, four fin geometries are considered, which are surface 5.3, surface 6.2, surface 9.03 and surface 11.1 (Reference 3). From the spreadsheet, it shows that values of oil saved for these different surfaces are £76.9, £74.5, £90.3 and £104.1 respectively.","IntroductionIn this assignment, a brake disc of motorcar is chosen as a component to design. Disc brake is a device for slowing or stopping the rotation of a wheel, a brake disc is connected to the wheel or the axle. To stop the wheel, the braking pads are squeezed mechanically or hydraulically against the disc on both sides. Friction causes the disc and attached wheel to slow or stop. In order to design an appropriate brake disc, lots of things have to be considered, thermal and mechanical stresses the disc will endure during different operation has to be analysised. However, the main disc damage modes are warping, cracking and scarring, and warping is the most important thing that engineer has to take into account to determine what kind of material they are going to use, and what is the thickness of the disc. So the design parameters for the brake disc are disc velocity, brake pedal force and structural loading, such as surface moment from hub and surface pressure from pads. The design objective is to prevent the brake disc damaged by the three main damage modes, especially warping. Manual design of Brake DiscFirst of all, the dimension of the brake disc is decided.",False,1673,2033,13767,13791
1541378,"For the past few decades archaeologists criticized the amount of attention that the typological approach was gaining within archaeological study. With the development of anthropological approaches, we need to beware of the danger of pushing the line in the other direction, not to be faced with the problem of insufficient archaeological data in the future.","Different races of horses were also differently built, hence for example an unusual shape of the Scottish saddle, which was also affected by the type of collar used in that region. These are the main ways of interpretation one can think of analyzing a cart saddle. It is also useful to look at the marketing aspect of such object and the possible ways of advertising it. There were qualified people who were producing saddles like this one and then undoubtedly selling them to the farmers. Firstly, when this producti0on was performed by individual craftsmen, the saddles had many designs, according to the individual taste and techniques. When mass production was introduced the number of designs of for example the trees was reduced to about twelve basic ones (Brown 1991). This craft inevitably required some sort of advertising as well as an organisation of a selling point. Saddlery was one of the crafts performed in the countryside in the past and it certainly required the whole marketing and advertising system around it, which might also be worth looking at. It is also essential to think of an interesting way of displaying an object like this one, given that leather might be especially difficult to preserve and protect as an organic material.",True,2214,226,38479,38489
279542,"), The Cambridge Companion to American Realism and Naturalism. (Cambridge, 1995) P.167 George Brown Tindall and David E. Shi, America: A Narrative History. (New York, 1999) P.939 George Brown Tindall and David E. Shi, America: A Narrative History. (New York, 1999) P.966 Dr. Graeme MacDonald, lecture delivered on ""McTeague"", EN213, University of Warwick, Coventry, Warwickshire, 9th March 2004. The influence of biological determinism on the author's representation of character leads him then to construct a narrative in which changing external circumstances induce the respective regressions of individuals who are unable to escape their debilitating genetic make-ups. His protagonists initially pursue lifestyles that, though hardly congruent with the idealised American mode, are ostensibly understandable given their biological characteristics. Norris nonetheless develops the narrative to depict that once circumstances and environment alter to become less balanced and more challenging, the lives of his characters become disrupted and enter an inexorable spiral of decline.","P.641 Being highly detrimental towards local economies in destroying crops and livestock, Chilean incursions thus often fomented peasant mobilisation. Whilst President Iglesias negotiated the cessation of hostilities under the Treaty of Ancón in 1883, General Andrés Cáceres continued to oversee a popular resistance in the Mantaro region. Though many were involved in incidents of banditry and opportunistic abuse, the war provided indigenous participants an avenue towards greater appreciation of belonging to a wider cause. In defending a region from a foreign threat, the conflict permitted the forging of an enhanced consciousness of inter-community identities, helping to establish ""bonds of solidarity"". Practically speaking, this entailed attrition of longstanding ethnic tensions between Indian groups that had considered themselves culturally and often linguistically distinct from their neighbours, as the Túpac Amaru rebellion had achieved some one hundred years before. By illuminating both the state's exploitation and inability to protect its citizens, the war granted Indians a greater sense of sharing a common experience.",False,1162,1007,6949,6997
219640,"CENP-A can deposit in the absence of the replication process, however, it is synthesised much later.2 Models have been proposed in which CENP-A may be acquired in order to complete centromere assembly, or that histone H3 may temporarily be deposited before a CENP-A specific centromere assembly factor fills in the vacant nucleosomal sites or replaces H3 with CENP-A.2 Since the over production of CENP-A results in its inclusion in euchromatin, and it is proposed that the opposite replacement mechanism may exist in the euchromatin to maintain H3 nucleosomes.6 The exact mechanisms involved here are still to be determined. CENP-B binds to a specific centromeric DNA sequence, the CENP-B box, which occurs as discussed previously. It promotes nucleosome positioning, however it is not absolutely required for centromere functioning. Its localisation is independent of CENP-A, and it is absent in centromeres without CENP-B boxes, so its role in the organisation of centromeric chromatin may therefore be questionable.","Through monitoring the transcription of a chromosomally integrated transgene it has been found that embryonically transcribed RNAs can be detected in somatic blastomeres from the 3-cell stage, but are not detected in the germline blastomeres. This is depedant on PIE-1, indicating it acts as a repressor of differentiated cell fates in the germline blastomeres, through general repression of transcription.9- Staining for an epitope of RNA polymerase II characteristic only when it is active, is not found in germline blastomeres, suggesting the mechanism of transcriptional repression by PIE-1 is to inhibit transcription directly.11 However, since PIE-1 is also found in the cytoplasm, it may play other roles. Seydoux, G. et al.",False,228,1496,5529,5560
842231,"This is due to the important fact that Fiona's dual and intermingling functions could give rise to bias or the appearance of it. This is highlighted in the Pinochet case where Lord Hoffman was automatically disqualified after disclosure that he was closely linked to Amnesty International, a party to the proceedings. Such is the importance of maintaining public confidence that there should not even be the appearance of bias. The formulation of bias in Porter v. Magill (2002) was subsequently adopted in Lawal v. Northern Spirit (2003) where it was held that ""there was a real possibility that a lay member might be sub-consciously biased due to the fairly close relationship of trust and confidence which would have been developed with the judge who was now appearing before them rather than sitting with them."" Thus Fiona is likely to be sub-consciously biased against Gareth and favouring The Construction Company Ltd. as she had been previously involved in consulting the latter on health and safety issues concerning Gareth's negligence. This is concerned with 'forming a concluding view in advance.'","It is an unfortunate ending for Bleak House that ""...the whole estate is found to have been absorbed in costs."" This ending serves as a warning to all about the self-serving personnel of Chancery and ""the carnivorous character of Chancery law"" However it is to be reminded that not all personnel bore a resemblance to the sombre characters painted by Dickens in Bleak House. Lord St. Leonards was one of the numerous exceptions. Holdsworth explains in A History of English Law that there was a controversy between Dickens and Lord St. Leonards regarding litigants who were placed in prison for contempt of court, who were abandoned and subsequently died. But from an objective viewpoint which Holdsworth indeed possesses, he carefully observes that Lord St. Leonards enacted an Act of 1830 that ended the abuse of these prisoners. Holdsworth also corrects the assertion made by Dickens, who stated in the preface that everything written about the Chancery in Bleak House was nothing but the truth. Indeed Bleak House does not expose the whole story. Although law reform was slow, developments were gradually enforced.",False,386,231,17451,17481
1555243,"Similar findings have been reported by Brown et al (1975, as in Leonard, 2000: 120) who discovered that preschool children with SLI had more difficulty than age matched controls using objects in a pretend manner. The ability to inter-relate items was also found to be problematic in SLI children with Udwin and Yule (1983 as in Leonard, 2000: 121) finding age matched controls to perform better on tasks which aimed to elicit concepts of time and space using a miniature toy set. However, this concept was also adopted by Terrel et al in 1984 (as in Leonard, 2000: 121) but using a control group who were matched, not by age but by expressive vocabulary ability (i.e. MLU). This study found that those with SLI out performed the language matched controls, thus seeming to support the original criteria for SLI. Further investigations followed the notion of age matched versus language matched controls in a symbolic play situation and the research has proven relatively inconclusive on one front.","However, should a sufferer of agrammatism be given the following example:  FORMULA  The patient would have an increased chance of understanding the sentence correctly as Broca's aphasic's who suffer from agrammatism retain lexical semantics and therefore would recognise that the apple was not realistically capable of eating the boy, and therefore the boy must be the agent (Libben 1996: 427). Comprehension was not originally thought to be a characteristic of Broca's aphasia, as ""Tan"" demonstrated relatively good comprehension skills (Caplan 1987: 44) and non-fluent aphasics being found to be able to match heard words to the correct picture 62% of the time (Schwartz et al 1980 in Carlson et al 2004: 390). However the difficulties with complex structures could be related to the suggestion that Broca's, and other non-fluent, aphasics struggle with comprehension of unfamiliar, less frequent and longer word retrieval, which seems to be supported by Boller and Dennis (1979 in Carlson et al 2004: 390) who found difficulties in sequencing tasks amongst non-fluent aphasics.",False,1418,2196,38761,38777
1190036,"Once combustion starts the flame propagates throughout the mixed gases within the cylinder, typical burn rates for gasoline are 1.4~1.5m/s. Ignition TimingCombustion takes a finite time, therefore ignition is advanced to BTDC. This means there is a pressure rise BTDC and the compression work increases (negative work). Higher pressure at TDC leads to higher pressures during expansion and hence an increase in positive work. Therefore there is an optimum ignition timing that is a compromise between these two effects. Plotting ignition timing against torque produces a curve similar to that shown in Figure 6.1. The minimum advance is more critical than maximum advance for max torque and so is generally quoted, this is known as MBT (Minimum advance for Best Torque). By retarding the ignition by a few degrees from maximum torque the nitric oxide emission are greatly reduced, this also reduces the engines octane requirements. FERGUSON.","These TTT diagrams are determined by quenching a specimen to a given temperature, holding it there for a given time and quenching to room temperature. Appendix C shows the TTT diagram and related C-curves for the steel BS EN12. As can be seen from this diagram, a cooling rate of approximately 250°C/second is required to miss the nose of the C-curve, and therefore achieve 100% martensite. As the cooling rate reduces the microstructure changes, indicated by the transformation lines. Note that for martensite to form the steel must be cooled to ~330°C indicated by the Ms line. To achieve 90% martensite (M90 line) the steel must be cooled to ~290°C. To achieve 50% martensite a cooling rate of approximately 12-14°C/s is required. The remaining 50% would consists of pearlite & ferrite. The carbon content of the steel also has an effect on the microstructure, Appendix B shows an Iron-Carbon equilibrium diagram.",True,348,1097,27219,27362
415757,"Waltz., ""Globalization and Governance"", James Madison Lecture, PS: Political Science and Politics, Vol. 32, No. 4, December 1999, pp. 693-700. In line with the realist outlook, even the so-called altruism of foreign aid (or international assistance) is only the ideological Cold War product of self-interest, which continues to be used in disguise as altruism. In reality, national interest will always prevail. Moreover, unilateral action is back or maybe has always been in fashion. The recent naked display of American unilateral action undermines the respect for international law by creating a precedent of taking the law into its own hands. For instance, Archibugi was criticising the US politics of rejecting an International Criminal Court and preferring ad-hoc military tribunals. The arms of laws and institutions instead of leaders should judge on crimes against humanity. See Daniele Archibugi, ""Terrorism and Cosmopolitanism"", Social Science Research Council website,  URL  accessed 06.01.2004.","For instance, the Ancient ""polis"" is no longer democratic enough for us today and for long time women had not been considered citizens lacking any political rights. The new conditions of our days require that democracy, like politics, be no longer perceived as nationally defined. Held mentions that ""More and more people recognise the need for enhanced political accountability, for transparency and openness of decision-making, in international, social and economic domains"". That is why, the idea of democracy has to be reinvented. This way, cosmopolitan democracy is not optimistic or pessimistic it is a project and a 'position of advocacy'. As one can notice, the EU seems to have attempted a cosmopolitan project of re-invention of democracy at a supra-state level. The second part of the essay will explain how and why can the EU be seen a cosmopolitan democracy. David Held, ""Regulating Globalization"", in David Held and Anthony McGrew (eds. ), The Global Transformations Reader, p. 423. Buzan, Barry, David Held and Anthony McGrew.",False,2676,2207,9892,9936
